raw_ingredients,simplified_ingredients
red leicester cheese,cheese
egg,egg
butter,butter
mozzarella,mozzarella
cheddar,cheese
semi-skimmed milk,milk
eggs,egg
dairy-free yogurt alternative,dairy-free yogurt
lighter cheddar,cheese
skimmed milk,milk
filo pastry,filo pastry
natural yogurt,yogurt
parmesan,parmesan
soft cheese,soft cheese
soya yogurt,dairy-free yogurt
soured cream,single cream
extra firm tofu,extra firm tofu
greek yogurt,yogurt
coconut milk,coconut milk
grated mozzarella,mozzarella
reduced-fat soured cream & chive dip,single cream
reduced-fat ready-rolled puff pastry,puff pastry
salad cheese,feta cheese
single cream,single cream
reduced-fat mozzarella,mozzarella
unsalted butter,butter
dairy-free yogurt,dairy-free yogurt
mozzarella cheese,mozzarella
cheese,cheese
soya milk alternative,soya milk alternative
paneer,paneer
ricotta,ricotta
sheets filo pastry,filo pastry
red pepper houmous,red pepper houmous
mature cheddar,cheese
milk,milk
50% less fat garlic and herb soft cheese,soft cheese
lighter ready-rolled puff pastry,puff pastry
cheddar cheese,cheese
fresh lasagne sheets,fresh lasagne sheets
salted butter,butter
parmesan cheese,parmesan
creme fraiche,creme fraiche
cheddar cheese grated,cheese
lighter mature cheddar,cheese
ready-rolled light puff pastry,puff pastry
strong cheddar,cheese
gorgonzola,cheese
grated parmesan,parmesan
hard cheese,cheese
yogurt,yogurt
feta,feta cheese
semi skimmed milk,milk
reduced-fat salad cheese,feta cheese
pizza dough,pizza dough
grated cheddar cheese,cheese
fresh gnocchi,fresh gnocchi
50% less fat crème fraîche,single cream
full-fat soft cheese,soft cheese
finely grated parmesan,parmesan
sour cream,single cream
ready rolled puff pastry,puff pastry
stilton,cheese
crumbled feta cheese,feta cheese
goat’s cheese,feta cheese
greek cheese,feta cheese
small beaten egg,egg
gruyere,cheese
light ready rolled shortcrust pastry,puff pastry
whole milk,milk
ball half-fat mozzarella,mozzarella
egg yolk,egg
lighter mascarpone,cheese
lighter puff pastry ready rolled,puff pastry
dairy-free spread,dairy-free spread
oat milk alternative,oat milk alternative
lighter puff pastry,puff pastry
greek-style yogurt,yogurt
